a_unique_carrier,a_taxi_out,a_air_time,a_distance,flights-flight-a-inc_rate
9E,14.836748566623735,1207.5010205121853,823.5812474059692,0.05736241558643173
9E,9.187224461919538,1389.6195927256617,915.06542676415,0.05736241558643173
9E,17.908524862673396,1204.1394258736389,542.8792959071272,0.05736241558643173
9E,12.499250661730192,1147.1055824358455,253.0230499136832,0.05736241558643173
9E,4.1788811825273005,1155.5456597896111,453.60848099511065,0.05736241558643173
9E,22.416354496609387,1185.4104569623491,419.39533340520234,0.05736241558643173
9E,31.76292640232113,1147.2455438851475,255.76874262327914,0.05736241558643173
9E,9.013453842010415,1162.107562726643,587.2570527944582,0.05736241558643173
9E,15.365294463843654,1170.541571130559,557.515357074909,0.05736241558643173
9E,10.914133559869109,1212.462476924,669.7054358541506,0.05736241558643173
9E,10.64177473554426,1152.6125130599526,227.22441564151532,0.05736241558643173
9E,8.009632113310213,1181.3506867862122,373.5904163771324,0.05736241558643173
9E,92.44742660173496,1381.728648683486,1498.8267259912964,0.05736241558643173
9E,13.23456281316025,1166.9617835994904,424.4983609528514,0.05736241558643173
9E,13.44431890013687,1165.0055620593705,343.2100454371899,0.05736241558643173
9E,26.101007932608034,1262.4562516559706,902.7571192916904,0.05736241558643173
9E,28.95180363811958,1308.3143332857842,711.0847336186966,0.05736241558643173
9E,6.0794694384979415,1188.2388627795538,450.05611972988504,0.05736241558643173
9E,15.072202529135067,1165.8776043166247,497.239892430304,0.05736241558643173
9E,41.116882995879266,1231.3572221283703,1233.8362939794063,0.05736241558643173
9E,44.60616095430359,1204.7276019151136,790.8469933121364,0.05736241558643173
9E,18.79241854475418,1197.0612881544603,515.2346123979409,0.05736241558643173
9E,13.143015968634835,1177.3808742596723,371.21453609616765,0.05736241558643173
9E,8.360379274638053,1243.7843683997567,909.9232859435635,0.05736241558643173
9E,20.945359446810986,1151.8324970365745,175.38987898667233,0.05736241558643173
9E,17.835590039675385,1182.1900378526434,114.78802540793242,0.05736241558643173
9E,33.81369752999114,1199.9036812241266,452.6980382548295,0.05736241558643173
9E,8.052788109505464,1140.591482363163,220.41220123708257,0.05736241558643173
9E,19.20103922756524,1126.8523773923891,84.41971290019953,0.05736241558643173
