ss_promo_sk,ss_wholesale_cost,ss_list_price,tpcds-06667g-ssales_rate
1.0,50.246902,77.140305,0.009862795498246804
1.0,52.777344,80.78775,0.009862795498246804
1.0,51.414352,76.60969,0.009862795498246804
1.0,52.400684,81.22357,0.009862795498246804
1.0,50.924686,78.60554,0.009862795498246804
1.0,50.85472,76.79246,0.009862795498246804
1.0,50.86491,78.58043,0.009862795498246804
1.0,51.5511,78.2185,0.009862795498246804
1.0,50.041363,76.48064,0.009862795498246804
1.0,50.377724,75.06751,0.009862795498246804
1.0,51.53245,78.46453,0.009862795498246804
1.0,53.353615,81.29809,0.009862795498246804
1.0,51.474003,77.987656,0.009862795498246804
1.0,50.466007,77.10747,0.009862795498246804
1.0,51.29344,78.26134,0.009862795498246804
1.0,51.542652,77.99266,0.009862795498246804
1.0,51.112804,77.15193,0.009862795498246804
1.0,51.77798,79.85596,0.009862795498246804
1.0,51.061928,77.86384,0.009862795498246804
1.0,51.636997,78.172585,0.009862795498246804
1.0,50.644615,77.76623,0.009862795498246804
1.0,49.87566,75.79504,0.009862795498246804
1.0,50.880405,76.48226,0.009862795498246804
1.0,52.269634,79.69828,0.009862795498246804
1.0,51.8107,79.12863,0.009862795498246804
1.0,53.323166,80.60921,0.009862795498246804
1.0,50.5559,76.623146,0.009862795498246804
1.0,52.42935,80.92538,0.009862795498246804
1.0,52.147602,80.61591,0.009862795498246804
1.0,49.686504,73.76603,0.009862795498246804
1.0,50.578003,76.71887,0.009862795498246804
1.0,50.095177,75.896194,0.009862795498246804
1.0,50.805363,78.832016,0.009862795498246804
1.0,51.47736,77.62565,0.009862795498246804
1.0,51.798615,78.69598,0.009862795498246804
1.0,51.454224,79.24534,0.009862795498246804
1.0,50.04572,75.73717,0.009862795498246804
1.0,52.654003,80.13141,0.009862795498246804
1.0,51.28221,76.84965,0.009862795498246804
1.0,52.872093,81.27598,0.009862795498246804
1.0,53.591274,80.57927,0.009862795498246804
1.0,53.400597,84.0595,0.009862795498246804
1.0,52.598484,81.64918,0.009862795498246804
1.0,52.050423,78.87171,0.009862795498246804
1.0,51.96814,80.51965,0.009862795498246804
1.0,48.147198,72.33365,0.009862795498246804
1.0,53.858784,82.60359,0.009862795498246804
1.0,51.699368,79.80074,0.009862795498246804
1.0,50.167843,76.1537,0.009862795498246804
1.0,51.2049,77.99142,0.009862795498246804
1.0,51.78573,77.982544,0.009862795498246804
1.0,50.721443,76.33535,0.009862795498246804
1.0,51.942265,79.56595,0.009862795498246804
1.0,53.80369,81.760704,0.009862795498246804
1.0,52.620026,79.93896,0.009862795498246804
1.0,51.69503,78.34582,0.009862795498246804
1.0,53.184456,80.670815,0.009862795498246804
1.0,49.26301,75.379776,0.009862795498246804
2.0,52.539875,81.623,0.010146852272066097
2.0,51.087166,77.81141,0.010146852272066097
2.0,53.081753,81.75884,0.010146852272066097
2.0,51.23339,78.52745,0.010146852272066097
2.0,51.4917,81.656906,0.010146852272066097
2.0,50.58398,77.397095,0.010146852272066097
2.0,50.635616,76.93331,0.010146852272066097
2.0,51.85246,80.31722,0.010146852272066097
2.0,51.6081,79.196175,0.010146852272066097
2.0,50.84525,78.07192,0.010146852272066097
2.0,50.77316,77.721954,0.010146852272066097
