a_unique_carrier,a_taxi_out,a_air_time,a_distance,flights-flight-a_rate
9E,14.120193389976292,1143.0851457027147,235.25887271081953,0.7475701194112746
9E,21.728666703874794,1186.123181068906,893.6556812046517,0.7475701194112746
9E,14.462642519478623,1293.3575506846128,1806.765534742213,0.7475701194112746
9E,34.404284142319895,1197.1337534310833,791.7060620017179,0.7475701194112746
9E,14.140128246721183,1179.8297608898001,540.4597988953813,0.7475701194112746
9E,14.075053436059617,1262.641282467375,1076.9887672625593,0.7475701194112746
9E,13.754306888011985,1182.0608767749077,920.8822096550498,0.7475701194112746
9E,13.718157787410078,1180.968688120983,547.0100792559417,0.7475701194112746
9E,13.516335945886102,1147.3800366884734,216.55501164675482,0.7475701194112746
9E,13.019106365922916,1141.2553399862845,233.87779066382697,0.7475701194112746
9E,13.395073021789731,1177.629906934821,550.5338301147061,0.7475701194112746
9E,8.293292003088268,1179.7212876630376,545.2584932635165,0.7475701194112746
9E,14.030340035555255,1233.524773314335,1508.3845826101178,0.7475701194112746
9E,14.353766662077451,1248.922012128206,1348.5324526692598,0.7475701194112746
9E,35.39612936777752,1233.8670439085242,904.2035203984531,0.7475701194112746
9E,21.568498326524363,1182.0037481686734,557.9968162161081,0.7475701194112746
9E,14.018491105919574,1190.9113243077056,846.9416744963168,0.7475701194112746
9E,7.9328899292748964,1144.6765673410544,209.02777683238844,0.7475701194112746
9E,13.816711901237507,1172.20107888273,274.3898934527193,0.7475701194112746
9E,13.467380705123338,1142.5244711581483,225.19279419898828,0.7475701194112746
9E,13.657227612079666,1179.946997666545,540.5701614652675,0.7475701194112746
9E,13.586291170444115,1220.3039394328725,295.29517906165285,0.7475701194112746
9E,13.936440344318491,1234.62052621182,850.2006470675524,0.7475701194112746
9E,14.731622802564882,1300.8377142726927,1865.2492725302084,0.7475701194112746
9E,8.562254645020523,1184.0430826370323,557.2414535849787,0.7475701194112746
9E,13.975314483293186,1178.4435917644512,565.5308028134884,0.7475701194112746
9E,13.815060439029695,1173.0329753645474,596.7906382180265,0.7475701194112746
9E,21.03146501866426,1150.8950710486968,201.78100222307117,0.7475701194112746
9E,21.675408025855937,1280.3633380744154,1554.5305913686514,0.7475701194112746
9E,21.95273584030662,1222.7096860056688,993.9953516835452,0.7475701194112746
9E,14.238217559381056,1182.776695199421,538.7358317202275,0.7475701194112746
9E,13.74245082058523,1146.1705857264567,233.22853039309646,0.7475701194112746
9E,21.38050218135736,1180.0202191237036,275.29889461702646,0.7475701194112746
9E,8.509471433763427,1180.5401071683093,548.0302474405903,0.7475701194112746
9E,8.358192571948827,1179.9932887751895,554.4451309823122,0.7475701194112746
9E,13.10157606347258,1145.1196271770646,225.302067951919,0.7475701194112746
9E,14.02913563481223,1141.5668953610066,244.15214745627443,0.7475701194112746
9E,33.69428089201237,1235.7999970867456,860.606065236582,0.7475701194112746
9E,8.16618418830415,1163.54897007289,391.0281204280345,0.7475701194112746
9E,8.421672451991311,1139.9012426184227,289.0693432372565,0.7475701194112746
9E,22.14136104325919,1233.1323090794365,888.0041298016083,0.7475701194112746
9E,13.324536453616693,1142.6548357484762,229.95202525546142,0.7475701194112746
9E,13.108848385537168,1143.2021388885819,219.49548014540144,0.7475701194112746
9E,13.839105234237845,1219.5865154629935,969.2426173190181,0.7475701194112746
9E,8.336776971855421,1143.2795444632927,226.2393232801323,0.7475701194112746
9E,21.124232163656607,1132.8581962070912,320.5325879200676,0.7475701194112746
9E,14.127324739030062,1214.2582393262571,303.2239834992743,0.7475701194112746
9E,22.214855719764145,1394.6351263393096,1984.9285309895524,0.7475701194112746
9E,8.706304662432077,1354.6566522298674,1933.4616840738177,0.7475701194112746
9E,13.959890384722515,1197.3134158172204,788.9868089805133,0.7475701194112746
9E,8.196279704646694,1142.332292711027,233.75300884805569,0.7475701194112746
9E,13.689790817414675,1144.1816479160157,214.37401519652315,0.7475701194112746
9E,13.97230374992134,1182.440110162679,528.9999582070393,0.7475701194112746
9E,21.644589613607604,1290.1547824633021,1511.6351975088844,0.7475701194112746
9E,13.908063761224652,1177.453914004904,579.2333425545858,0.7475701194112746
9E,8.61478758622043,1240.3334577723967,1341.319983919845,0.7475701194112746
9E,8.56420592525467,1328.8919615362413,1516.905815483196,0.7475701194112746
9E,31.927046297233787,1151.0435130349995,189.38500510230966,0.7475701194112746
9E,14.078330101262209,1226.7178277931896,931.7906865034158,0.7475701194112746
9E,21.03506546574134,1143.4094666417197,228.0432491065597,0.7475701194112746
9E,13.604740828037084,1172.4621826924176,276.8310017148126,0.7475701194112746
9E,14.17470806793911,1243.9417671071417,1470.6366783880178,0.7475701194112746
9E,21.42246898892872,1142.3108951623087,259.2117884829143,0.7475701194112746
9E,22.456684221005837,1140.9235145528748,258.91293870107523,0.7475701194112746
9E,14.145545817049427,1292.494472662392,1519.5385945927728,0.7475701194112746
9E,8.400709225737064,1175.5317511686947,545.600685601012,0.7475701194112746
9E,14.192967834095784,1264.3287421147918,1043.2530763823443,0.7475701194112746
9E,13.649271371758417,1139.1621671257014,266.6924071455479,0.7475701194112746
9E,14.621569484670665,1349.40049451306,2043.8562787946169,0.7475701194112746
9E,13.993254509151908,1198.1567830875292,771.262261584003,0.7475701194112746
9E,8.532035978672587,1296.3279060813477,1502.2593025419394,0.7475701194112746
9E,13.842527628250124,1227.9460469053972,913.1716734731289,0.7475701194112746
9E,21.545201703336488,1312.2718247343023,1587.7841321364256,0.7475701194112746
9E,14.056738848065859,1226.3573194536054,931.7023824874988,0.7475701194112746
9E,14.234666999454191,1280.0298480540125,1045.674780239204,0.7475701194112746
9E,36.71634691452843,1373.2048570487336,2094.2478407996105,0.7475701194112746
9E,8.383918038126797,1268.6437018565853,1041.0839450606604,0.7475701194112746
9E,8.228128722493196,1162.2565310759157,295.509551437728,0.7475701194112746
9E,21.155091816661653,1228.3474120599835,931.7408018877634,0.7475701194112746
9E,21.94963935794583,1239.719239239788,863.0924025065322,0.7475701194112746
9E,20.908894998374382,1146.0525781297201,231.15486420659988,0.7475701194112746
9E,8.50753258453704,1138.6657380525912,258.56799082692623,0.7475701194112746
9E,13.769779392593316,1183.373841530205,558.1185989715909,0.7475701194112746
9E,13.922530190879895,1183.3271606219328,521.413408702795,0.7475701194112746
9E,13.595695347701087,1150.4603406897304,227.84333641271792,0.7475701194112746
9E,8.647560953667519,1356.5186982843336,1883.1012872684196,0.7475701194112746
9E,8.391394319333786,1178.9172282143472,552.0993422147083,0.7475701194112746
9E,21.749257363970905,1182.5312442476534,544.7199638931208,0.7475701194112746
9E,14.154863148998858,1192.877750226552,812.6588126695881,0.7475701194112746
9E,33.68303166629562,1141.2814092726107,251.91921619444352,0.7475701194112746
9E,14.08418995269975,1212.3072997516758,552.4117669368529,0.7475701194112746
9E,8.496059804172665,1218.0529488713105,589.4225824093955,0.7475701194112746
9E,21.581495304288346,1172.6384511519345,308.64509217904794,0.7475701194112746
9E,8.583414897315974,1295.687394348934,1016.8282784526976,0.7475701194112746
9E,14.295172639926509,1210.5403640760867,621.1218094547595,0.7475701194112746
9E,14.525771998852852,1196.343459782938,803.7911242898889,0.7475701194112746
9E,13.963965343098186,1180.4631425667822,524.604452740061,0.7475701194112746
9E,13.678261438172411,1173.8075232436283,295.6636817796182,0.7475701194112746
9E,21.909664963847188,1237.7013552810881,1712.982624288567,0.7475701194112746
9E,34.642997510915606,1267.3533809807132,1072.6542203822376,0.7475701194112746
9E,35.45293355925112,1356.5014807049174,2066.8960163950214,0.7475701194112746
9E,13.92628770745731,1213.2029975656135,588.0889226168426,0.7475701194112746
9E,13.813565143832461,1172.682582877437,281.8161189413971,0.7475701194112746
9E,14.34421949325544,1178.5289237086681,563.9864556232397,0.7475701194112746
9E,13.844550727080897,1224.1113968854147,924.5368414443186,0.7475701194112746
9E,8.149170282351374,1143.8301409307935,224.24454313616158,0.7475701194112746
9E,13.58185274788884,1140.4024936510918,254.7557662644888,0.7475701194112746
9E,20.81140184951452,1149.3566967432753,214.4502159132834,0.7475701194112746
