ws_promo_sk,ws_wholesale_cost,ws_list_price,tpcds-06667g-wsales_rate
1.0,48.04845,91.31119,0.10056851037083596
1.0,49.025894,95.41392,0.10056851037083596
1.0,44.085552,81.22244,0.10056851037083596
1.0,49.71782,93.040695,0.10056851037083596
1.0,50.75511,89.28569,0.10056851037083596
1.0,51.789,103.055,0.10056851037083596
1.0,48.19433,89.12461,0.10056851037083596
1.0,51.518078,93.91763,0.10056851037083596
1.0,45.339737,91.821106,0.10056851037083596
1.0,49.86622,101.79532,0.10056851037083596
1.0,46.791084,84.72334,0.10056851037083596
1.0,50.212955,96.35075,0.10056851037083596
1.0,46.27165,91.86019,0.10056851037083596
1.0,50.33167,96.15949,0.10056851037083596
1.0,48.749477,94.96581,0.10056851037083596
1.0,49.489548,92.330284,0.10056851037083596
1.0,51.407413,93.27011,0.10056851037083596
1.0,50.797318,96.80974,0.10056851037083596
1.0,50.531578,99.0743,0.10056851037083596
1.0,48.136036,97.13308,0.10056851037083596
1.0,48.8388,97.3823,0.10056851037083596
1.0,55.28025,105.48727,0.10056851037083596
1.0,57.985123,116.65803,0.10056851037083596
1.0,48.03581,94.74155,0.10056851037083596
1.0,53.152462,100.22978,0.10056851037083596
1.0,50.959335,102.68102,0.10056851037083596
1.0,54.804985,103.25275,0.10056851037083596
1.0,51.04968,96.58574,0.10056851037083596
1.0,44.8685,84.279236,0.10056851037083596
1.0,48.600536,94.08519,0.10056851037083596
1.0,46.69287,91.875725,0.10056851037083596
1.0,51.03302,97.57853,0.10056851037083596
1.0,52.292995,106.91896,0.10056851037083596
1.0,50.903202,101.30827,0.10056851037083596
1.0,52.236595,102.046486,0.10056851037083596
1.0,53.719284,109.836754,0.10056851037083596
1.0,47.95295,89.32294,0.10056851037083596
1.0,43.8838,83.901886,0.10056851037083596
1.0,51.11495,96.44202,0.10056851037083596
1.0,50.691574,102.45593,0.10056851037083596
1.0,48.69788,94.542564,0.10056851037083596
1.0,51.744686,98.40632,0.10056851037083596
1.0,52.551056,105.03183,0.10056851037083596
1.0,47.407196,86.55955,0.10056851037083596
1.0,52.96845,100.74792,0.10056851037083596
1.0,51.447815,96.669586,0.10056851037083596
1.0,50.242252,98.44359,0.10056851037083596
1.0,49.77897,93.67388,0.10056851037083596
1.0,51.764874,99.68062,0.10056851037083596
1.0,57.635822,110.153755,0.10056851037083596
1.0,52.58287,102.3811,0.10056851037083596
1.0,48.86974,86.974236,0.10056851037083596
1.0,47.19827,87.65873,0.10056851037083596
1.0,51.868385,99.90595,0.10056851037083596
1.0,54.6372,99.33124,0.10056851037083596
1.0,50.50409,94.779274,0.10056851037083596
1.0,50.602486,94.61337,0.10056851037083596
1.0,52.575848,101.59844,0.10056851037083596
1.0,46.6371,84.48623,0.10056851037083596
1.0,47.950947,93.53064,0.10056851037083596
1.0,50.33378,90.81481,0.10056851037083596
1.0,49.664375,96.11485,0.10056851037083596
1.0,45.49982,85.94024,0.10056851037083596
1.0,47.58698,87.61485,0.10056851037083596
1.0,47.38153,80.70903,0.10056851037083596
1.0,48.05135,97.94594,0.10056851037083596
1.0,51.06972,95.58011,0.10056851037083596
1.0,52.869354,96.32231,0.10056851037083596
1.0,52.6082,101.3149,0.10056851037083596
1.0,53.370033,107.32699,0.10056851037083596
1.0,51.74372,98.373,0.10056851037083596
1.0,50.065773,99.619896,0.10056851037083596
1.0,52.62091,100.99429,0.10056851037083596
1.0,52.507378,99.53802,0.10056851037083596
1.0,50.240574,100.89535,0.10056851037083596
1.0,49.850132,97.6944,0.10056851037083596
1.0,52.309227,99.86827,0.10056851037083596
1.0,52.049538,101.066925,0.10056851037083596
1.0,55.773285,109.2727,0.10056851037083596
1.0,46.989464,87.77135,0.10056851037083596
1.0,55.068283,105.143074,0.10056851037083596
1.0,49.830288,91.61196,0.10056851037083596
1.0,52.684,98.062416,0.10056851037083596
1.0,52.394825,100.35014,0.10056851037083596
1.0,48.029324,92.86814,0.10056851037083596
1.0,51.83298,98.70796,0.10056851037083596
1.0,53.546425,103.28449,0.10056851037083596
1.0,56.155903,108.721725,0.10056851037083596
1.0,51.406708,101.80383,0.10056851037083596
1.0,46.37863,85.86215,0.10056851037083596
1.0,46.67077,84.811745,0.10056851037083596
1.0,47.734543,87.08831,0.10056851037083596
1.0,52.963116,102.94725,0.10056851037083596
1.0,48.381527,92.05398,0.10056851037083596
1.0,53.326706,107.30493,0.10056851037083596
1.0,48.310402,92.75475,0.10056851037083596
1.0,48.178436,93.16913,0.10056851037083596
1.0,50.7978,99.69486,0.10056851037083596
1.0,45.457302,83.30589,0.10056851037083596
1.0,50.352085,94.84976,0.10056851037083596
1.0,51.39804,98.45871,0.10056851037083596
1.0,45.19648,81.97263,0.10056851037083596
1.0,42.3302,71.077866,0.10056851037083596
1.0,48.583267,94.19267,0.10056851037083596
1.0,47.642036,97.49046,0.10056851037083596
1.0,49.77215,100.98835,0.10056851037083596
1.0,50.760494,104.813774,0.10056851037083596
1.0,51.814915,95.45971,0.10056851037083596
1.0,48.687378,95.25778,0.10056851037083596
1.0,49.701645,96.10354,0.10056851037083596
1.0,51.49597,96.7085,0.10056851037083596
1.0,48.046062,91.05539,0.10056851037083596
1.0,46.484093,85.52147,0.10056851037083596
1.0,51.036903,97.36385,0.10056851037083596
1.0,48.698418,89.66591,0.10056851037083596
