c_nationkey,c_mktsegment,c_acctbal,tpch-1m-customer_rate
0,FURNITURE,1698.1053901010082,0.05040408872328105
0,MACHINERY,1843.7454329618772,0.05040408872328105
0,MACHINERY,2055.778142412498,0.05040408872328105
0,BUILDING,-324.60831564343266,0.05040408872328105
0,HOUSEHOLD,7691.659143943727,0.05040408872328105
0,MACHINERY,-186.4042459028725,0.05040408872328105
0,BUILDING,-361.52556481088874,0.05040408872328105
0,BUILDING,5214.076238055144,0.05040408872328105
0,HOUSEHOLD,5090.431410028939,0.05040408872328105
0,AUTOMOBILE,3651.4250148124343,0.05040408872328105
0,FURNITURE,-206.77515718154683,0.05040408872328105
0,MACHINERY,-342.7185595069776,0.05040408872328105
0,BUILDING,-307.3781015574194,0.05040408872328105
0,MACHINERY,-211.0327370887153,0.05040408872328105
0,BUILDING,5132.724323223076,0.05040408872328105
0,BUILDING,3429.6458087952283,0.05040408872328105
0,BUILDING,4840.156797532711,0.05040408872328105
0,HOUSEHOLD,-490.9505350793532,0.05040408872328105
0,HOUSEHOLD,5131.726132437719,0.05040408872328105
0,BUILDING,1469.872369073826,0.05040408872328105
0,HOUSEHOLD,9478.974822090719,0.05040408872328105
0,AUTOMOBILE,8324.015141501559,0.05040408872328105
0,FURNITURE,9278.683029051681,0.05040408872328105
0,AUTOMOBILE,1023.2807035809612,0.05040408872328105
0,FURNITURE,1694.936237339209,0.05040408872328105
0,FURNITURE,4828.720130502194,0.05040408872328105
0,BUILDING,8242.355147320004,0.05040408872328105
0,BUILDING,9403.583793747179,0.05040408872328105
0,HOUSEHOLD,7855.25188099181,0.05040408872328105
0,FURNITURE,4751.853247501427,0.05040408872328105
0,MACHINERY,6228.883498550044,0.05040408872328105
0,MACHINERY,6216.4038788447,0.05040408872328105
0,BUILDING,9283.945813371522,0.05040408872328105
0,AUTOMOBILE,4764.927427900435,0.05040408872328105
0,HOUSEHOLD,1360.4815885774078,0.05040408872328105
0,MACHINERY,1382.9925107079516,0.05040408872328105
0,MACHINERY,4547.136993455259,0.05040408872328105
0,BUILDING,6343.342527032693,0.05040408872328105
0,MACHINERY,-297.2313766959454,0.05040408872328105
0,FURNITURE,7439.282789050624,0.05040408872328105
0,BUILDING,7960.850432201458,0.05040408872328105
0,HOUSEHOLD,5125.754073134784,0.05040408872328105
0,BUILDING,-435.99155551856825,0.05040408872328105
