a_education_num,a_fnlwgt,a_age,a_hours_per_week,census-adult-a_rate
1,164693.4977649071,42.92230605174438,39.0788276159181,1.0
1,249157.25895120436,55.145160774000075,19.856089375815888,1.0
1,66788.52596965079,60.659023445351544,50.679463153915336,1.0
1,165209.7599196914,43.1044374467426,39.03236923921906,1.0
1,318103.1876329338,43.014453313394654,39.04656958198247,1.0
1,162285.92450042008,43.20264500230458,49.71765542361021,1.0
1,71717.5011582166,60.74723089713973,39.07272350971463,1.0
1,248609.89348536034,21.110892100968982,39.085423816680745,1.0
1,248639.4342747103,60.757371866278454,50.68013690978089,1.0
1,248302.2541257136,43.38668207889783,18.96948247659594,1.0
1,164433.02969435838,31.24043446673886,39.04515192777114,1.0
1,165774.4913480868,54.78513661878505,39.072990124139125,1.0
1,163421.87421042836,30.90270212271087,39.04244540700238,1.0
1,163149.97630621656,31.481407159606317,39.04960159275992,1.0
1,252731.24884500416,42.887518338587434,39.07508214512371,1.0
1,246649.8757794915,43.167672843533175,51.63756448246272,1.0
1,162308.07016746444,54.651508198684795,52.11225091503074,1.0
1,159817.50666830956,21.297436082695043,47.05524746658181,1.0
1,67495.26621468601,43.30327790625214,47.07630984609454,1.0
1,316679.2855767833,30.877124264639974,39.0337658402891,1.0
1,162421.6835074092,54.72367329835961,19.827052023583796,1.0
1,254115.94653280146,54.71640327440441,39.092486768088676,1.0
1,162096.03795952201,43.313411625639624,49.261650138060034,1.0
1,163286.62589420236,54.72996677912991,19.35028852393139,1.0
1,70173.26100743332,54.66180941354341,39.08666776774398,1.0
1,71850.70624672521,21.165260672702516,39.06475736211417,1.0
1,163654.93231914286,31.013194732865117,50.64820761172648,1.0
1,163700.55582818988,31.409124478610966,47.277688229870314,1.0
1,69659.44612534707,30.68861531789212,39.08599752812687,1.0
1,69829.0191767056,54.66997424925509,39.097334640901025,1.0
1,167895.8554243382,31.087859718416585,39.049460534217395,1.0
1,71239.93161565582,30.955849941815195,39.02184722071463,1.0
1,69045.11498911584,43.25710168729303,47.19391015874428,1.0
1,163097.00209175923,43.30236832170877,39.05760550110045,1.0
1,320149.7719028185,31.43525639603014,39.0247153231469,1.0
1,69081.1948300286,42.81951668644109,19.17110337421898,1.0
1,69450.11782044779,42.698495105886316,39.094773466327574,1.0
1,164147.21916338883,55.202585114814084,39.08747758052952,1.0
1,163325.43725480197,42.96251158607705,39.07164372836694,1.0
1,69068.75985308987,31.523848125769888,39.06803454177261,1.0
1,320222.9999872812,31.16301675928486,39.06399237746826,1.0
1,68850.42059177294,43.140823195440824,39.05313901827976,1.0
1,68128.97755288487,42.76826966284942,39.075606451328774,1.0
1,66199.4778192407,42.86664943471551,33.73982968773848,1.0
1,162346.45358285334,42.90938754087086,19.7006248521925,1.0
1,66491.73579254316,59.91027986962067,51.98416189565601,1.0
1,66607.26754431007,31.132249101514684,47.18188035576592,1.0
1,249650.86082584126,61.01022688392456,51.98974298335633,1.0
1,249607.89266382277,21.213803389606362,39.07333627003387,1.0
1,165497.38033190102,43.146603753740905,39.067564876535634,1.0
1,67850.95246027585,55.18111595679512,19.74787414884057,1.0
1,66832.21360171383,30.946577416665626,50.48919121186027,1.0
1,165636.73350996227,31.364470649423346,39.01061911533377,1.0
1,170059.09486359332,55.03282845566809,39.09073259986234,1.0
1,247455.2704161076,55.143251206266264,52.321769379446714,1.0
1,254617.00763708437,31.415024803938135,39.053429305009,1.0
1,308436.8622891683,43.265761380290996,39.054487451111655,1.0
1,249583.5070858002,54.29164391550317,39.087293969572215,1.0
1,68349.95507360654,30.967736397854193,39.07525718146872,1.0
1,66602.82966613908,60.906535320710255,52.09026459402575,1.0
1,165182.5327942495,21.276687851875028,39.048729778345006,1.0
1,257238.599466373,43.413394837613176,39.07579612718811,1.0
1,251102.3657908385,31.285225841636723,39.00846687100899,1.0
1,165459.61921424879,61.1209346164811,39.059954629422016,1.0
1,67172.61652204767,60.7509077782905,47.234038853103606,1.0
1,162486.5796214347,31.419117110186292,46.83474180214045,1.0
1,251654.85182468608,61.74621758247018,39.07215353787545,1.0
1,309799.1303092638,31.21108227644709,51.260839545602686,1.0
1,164455.82083358103,31.504289157910442,39.0300884089878,1.0
1,165493.18661101037,30.841162689636846,39.04433599878009,1.0
1,162121.53723840378,60.45151730222773,51.24538058221144,1.0
1,67003.05847704003,20.967435075691515,39.07397016044962,1.0
1,67629.11200291898,42.94553529141017,50.862069177474076,1.0
1,161672.10235372384,21.213533448463405,50.953931527848475,1.0
1,69456.0274643474,30.839244601852794,39.044291144988726,1.0
1,167307.44128050204,55.13127790036844,39.06548424076153,1.0
1,318072.3288702633,42.665017832368434,39.076960674346495,1.0
1,164086.98267605313,31.616245822440444,18.071329528175674,1.0
1,254911.5107703527,43.186225299055586,39.06175546716656,1.0
1,68116.47254630864,31.41592913484612,39.05223524977623,1.0
1,72371.32072077789,31.195054826834934,39.05371592856652,1.0
