prot_category,l4_ul_throughput,l4_dw_throughput,l4_ul_packets,l4_dw_packets,outlier-sdr-1m_rate
2,16423.087052554118,81374.00921782551,263.6490478335767,202.67624051244468,1.0
2,15147.258716276558,138031.11272407926,184.79792285611975,162.3843643499842,1.0
2,17563.140903682885,112722.61219094225,273.45739186014987,223.27835938178603,1.0
2,14791.179869358079,85190.70045280161,238.4614998012658,166.77617009533208,1.0
2,17741.937266220742,96918.03708070896,272.0451034113907,207.16079270187745,1.0
2,16685.185145525702,84916.31778672687,270.70278443601154,192.30268526433275,1.0
2,17539.934789060622,86210.29442094585,274.18264082551934,205.42005963320707,1.0
2,15207.802145935859,102773.49751128412,247.96656778244915,198.74385895728346,1.0
2,18278.067357019343,90681.74331041766,300.0022201861028,221.24423047217954,1.0
2,16677.542233062984,89077.23084438426,286.02456172766483,222.1613870015974,1.0
2,17685.843568937526,106485.49225658803,249.00844173882652,163.39343377740647,1.0
2,16127.765516535697,80066.53102570155,253.33243145348473,178.2164249914611,1.0
2,17412.530078403684,91319.35523127881,279.07234835629987,205.97792479020677,1.0
2,18448.83816018719,91439.25087624554,301.89223965072375,234.90298064093645,1.0
2,17580.16117179509,106201.42762673482,279.0842724144643,205.856953320426,1.0
2,19819.902131753905,93351.33403731961,331.8707186407973,228.55560151436987,1.0
2,17104.31551384081,81017.07804935437,269.0840747916699,197.82746169756268,1.0
2,17939.902734961554,102666.35648137095,273.93336051521374,183.29565866527057,1.0
2,18150.19979398983,83769.2682065744,290.905476202975,205.97414494758434,1.0
2,18179.451395557895,95341.78961121175,308.9648747604381,227.76527603609068,1.0
2,18005.20168033334,106401.69319078134,293.1021933177264,208.36135489866277,1.0
2,18060.90771786768,72926.42508789204,309.82652857671224,229.4325827732943,1.0
2,17107.15111122805,83820.77331137368,280.00621209398963,207.90298708370682,1.0
2,17623.547315672324,85939.35221891395,284.08956456565954,200.9501646501006,1.0
2,17159.104201365964,85091.0967552981,292.29167608736975,213.87600498495442,1.0
2,17866.355994243033,80191.25916457057,264.63460123849813,182.8771855211374,1.0
2,18766.141006535094,75699.0656349983,293.13411267153924,213.91952269270132,1.0
2,17753.08916778965,97695.26506954558,248.57304487915235,169.0867928421831,1.0
2,18795.47281356844,107136.74720180329,299.023200640097,205.0426200644423,1.0
2,20063.654895488897,89114.24978479263,306.64616103173074,226.67068560610304,1.0
2,17603.900318572054,68310.12587182695,288.7480466100532,213.54781065839063,1.0
2,16507.347906676867,116246.92622751427,248.5724449265403,180.3453099339703,1.0
2,17284.816242515964,81748.71423096534,281.0337246847161,212.81312644421718,1.0
2,16239.896098897554,115186.77665773343,277.4168541174321,189.37978578316833,1.0
2,17199.051535919134,90804.50789497275,267.3645918570234,200.53713844075082,1.0
2,17484.43929087265,104934.39752174614,262.6374902326268,175.18465283808027,1.0
2,18438.742297244527,101149.5701897721,266.3688392576972,213.98354893520093,1.0
2,17651.433753383364,83911.24959357931,278.54759605446895,199.11241011883348,1.0
2,17989.996060873185,98036.15394268536,286.9529883948079,217.5868531001289,1.0
2,19258.164775216093,101107.0114232158,292.905343241158,213.20246674019054,1.0
2,18252.11086331671,99287.20965623826,297.8031032609033,211.8453134213135,1.0
2,16218.551419448766,83950.66780496492,287.1493978811769,204.6464215824007,1.0
2,16616.290321793673,97710.35671033878,285.5236762906819,210.1308329277129,1.0
2,17602.68721090963,102426.43504230429,284.9779818929867,220.9481730608379,1.0
2,18035.78001397298,71989.16459314153,291.3901816679518,217.6966253418777,1.0
2,16363.846961705685,86495.5869795775,280.33134891268094,204.32930268989654,1.0
2,18198.874485734246,79776.43992511541,291.3857288946593,206.72778614539035,1.0
2,17115.320372056696,130078.70643536482,305.1378895393036,231.56672895962842,1.0
2,17640.66951156333,111650.48890090703,254.2819502046451,182.5859643276489,1.0
2,19246.28601161805,108257.01435380644,286.3850020078713,198.1381680622991,1.0
2,17938.540912998913,95822.87173543945,276.32169686969723,193.57598054633968,1.0
2,17705.781310849452,110507.74555946609,278.0605095275631,209.467264224189,1.0
2,18515.351884168595,97188.5831766833,300.366832011815,229.6751776944436,1.0
2,19015.867406486574,84922.27069490627,294.6334598688622,216.13987487491445,1.0
2,17314.757945274912,90625.25292795103,303.591014845995,239.97312371070964,1.0
2,15670.751433451298,107576.96815686424,241.0882610734807,190.47771452394372,1.0
2,18145.19196525114,124196.75782685455,290.23831014985944,230.5528975907364,1.0
2,17203.065151077735,75647.22101072111,281.0553229787498,198.24361576794715,1.0
2,19355.711330473754,93488.38673323684,319.77453032225856,230.66113478722806,1.0
2,18389.66657817369,112876.91247633741,304.22464917265296,219.12027252976986,1.0
2,18838.960885224475,103628.06803718912,303.3839374522431,195.49606632215125,1.0
2,17556.1245964177,99991.48056792951,285.38242494758305,215.54130625980596,1.0
2,16770.56720521524,101938.8001921529,276.64428388978735,200.40311908628433,1.0
2,17506.806590003813,84443.05026914913,282.1188327261992,200.94980152111503,1.0
2,17641.367967490183,100608.70434414202,274.0111668695886,211.33196457677104,1.0
2,17777.347979143768,79417.55086098831,286.2937717138019,210.1943639943231,1.0
2,16500.51039076138,87885.27415461994,257.7832174029953,182.67625965108127,1.0
2,19006.60701714062,102127.80502684865,289.42805539877054,212.7066471221329,1.0
2,17426.952023630118,90713.74867986886,286.2846411849873,200.73676860056304,1.0
2,17919.772834122385,90145.26292471064,307.01629429632567,209.49242741230208,1.0
2,17627.116458877477,89548.84603383618,283.452508634261,198.95340914074666,1.0
2,18018.70961744497,111401.57585433367,284.7949026037167,197.69573665805038,1.0
2,18382.147315803286,119447.7517641895,285.6344050446429,227.81405086119673,1.0
2,19699.826195487323,90130.48816876349,298.63280022632637,224.74849533276148,1.0
2,17794.69909480027,100410.0854495634,299.6984566792157,225.0468140473314,1.0
2,14814.207192630643,80683.63031143884,237.77875372875607,200.2851681894289,1.0
2,17550.917924962992,82703.64105588323,278.8397354794977,207.99140073875947,1.0
2,16758.501295531532,87293.9104453084,284.8260438939858,203.61045585125245,1.0
2,17558.091301264358,91773.1682827722,280.4492770979865,205.01927252125702,1.0
2,17416.592151030898,114308.55294153385,246.92071914001693,206.52106671742823,1.0
2,17789.443965876955,76236.85882935327,293.6772103993354,208.74286316265213,1.0
2,17479.98287470779,81927.02420210687,268.12319443791887,204.83979602014347,1.0
2,17972.68337700213,108585.55603526616,293.963772139924,211.9208607561732,1.0
2,19783.09951981876,106145.51442738065,271.258003081423,217.04535350627395,1.0
2,16834.47258062771,92825.33348616413,296.931493980973,236.64193520287074,1.0
2,16996.270397366876,92023.29228215011,271.1109771944332,201.38182597875482,1.0
2,19031.96364080082,106272.74935172824,285.3483963853685,210.01953389363845,1.0
2,18223.48753789337,89500.09669546594,285.40863537732184,214.97787037405053,1.0
2,16798.92819192921,66181.85934185026,265.8830088815728,199.12293260648326,1.0
2,15085.193053724048,115578.38974087329,228.54201455331088,201.68721745561166,1.0
2,16192.138757162325,95249.90432317277,248.8800331313293,154.05798176969876,1.0
2,19005.437354105226,112323.82392950251,308.07758234425853,231.66024705280762,1.0
2,18622.534791890725,131812.00995668626,302.0185296755597,209.08289219297262,1.0
2,18294.967316933624,76208.43539039405,278.8676145274387,207.7374580368114,1.0
2,16905.385908569395,79305.4415293817,288.09940409383455,203.99136990417452,1.0
2,18714.714264763108,108568.1500033652,292.2717182887596,198.1494085549885,1.0
2,17891.28318447452,107447.87153404609,271.54819266046263,186.0693946626843,1.0
2,18174.15282200755,99083.9110515224,281.0311561375958,210.33737904411373,1.0
2,17098.15807343305,120087.72334542214,272.47553191349635,202.99231953558112,1.0
2,17800.422088937747,87482.28151031205,282.7330342127825,209.2453841610797,1.0
2,18294.810247897443,107444.1311611311,292.0647158890842,199.40870686518832,1.0
2,19413.6764886136,107339.41203682704,315.6409786906275,216.6718753446244,1.0
2,13230.81763214284,107739.7564292072,208.5518091278673,170.5097550367616,1.0
2,18403.395080314855,98107.05126833139,295.7195615818589,196.0052144245653,1.0
2,14883.462940956453,96731.36927175283,228.65956776823387,172.5701323949721,1.0
2,17370.33531987536,127394.35226983165,306.9729570943648,221.43093654127836,1.0
2,17816.473207677773,87450.85332397331,295.69624779832515,220.0306203907085,1.0
2,17488.658432536045,75071.09606730987,300.3235135583733,209.8165530436413,1.0
2,16419.09014686745,101012.86833064871,280.9902843659001,213.73963354501325,1.0
2,18097.596705393673,121553.14599867085,318.1214171453198,232.5796401266593,1.0
2,17457.296424662683,85904.6080590076,292.62201562011865,222.57366219418157,1.0
2,10944.701203777759,414059.06755415484,162.77579979904655,170.66572718899155,1.0
2,18400.748299960473,120046.2114305894,300.3616199234978,220.68877517117494,1.0
2,16788.630144376144,80310.44747729164,261.11578542624557,169.69091568018436,1.0
2,17121.182054811226,87437.8780212591,270.6034547816795,181.19816787414942,1.0
2,18997.25806759342,102706.60651547744,295.2166325562912,228.23538777255695,1.0
2,16834.440832631037,92734.25172755623,265.87993412443603,181.90603006098027,1.0
2,18340.168109462917,90945.77629107406,266.92238928490633,194.60111017844153,1.0
2,18098.813154950483,83708.95257132329,299.7029188267678,213.56342520476974,1.0
2,16153.299260598398,92618.37938840275,268.3505202323274,188.04576543125785,1.0
2,19264.250364894542,88881.1357112581,297.18070867146173,198.76866726934247,1.0
2,18901.106753242268,73861.2240664277,302.04434638639685,219.51806382758903,1.0
2,16611.91578204129,94864.90621119423,298.6207355542685,219.46273617487992,1.0
2,18982.299748317895,88175.9480969765,300.06334035845515,224.1145381474238,1.0
2,16959.78526539848,90698.40805812519,273.25408291874237,193.57715246261125,1.0
2,16970.285497561952,109118.33000000598,260.46163084540365,187.63122893544542,1.0
2,17197.923646563573,81931.40400337194,281.3637173698612,204.58793305693092,1.0
2,18510.831972010386,83094.95423015094,298.7663365538047,204.24489170661656,1.0
2,15582.766038034408,79686.39935957309,252.80430441821105,195.23596693331166,1.0
2,17713.99401630513,102728.91294517629,293.47755741915756,189.68132314101936,1.0
2,17104.28543679133,92085.84308729747,291.7556559255438,213.08931079653084,1.0
2,18604.401672947697,96786.39406180648,290.98980704200596,216.11630450257894,1.0
2,16796.465215766108,87174.286415924,286.6370570990077,215.41202408801473,1.0
2,19283.63836517983,103175.36408265693,314.11877704848933,231.59478480022875,1.0
2,17451.50492169028,82336.97699571196,294.63383483924474,201.3417084787818,1.0
2,18327.47392363448,85438.7647006802,317.13876976086294,200.23225039271486,1.0
2,18073.844191039163,85588.43054520186,288.4923543062064,209.04082700116797,1.0
2,17778.20016221241,98013.21940195239,286.7347743806949,206.39036504142072,1.0
2,16381.697690573026,86404.18833612354,280.08242482423873,171.14210290045872,1.0
2,18100.789885480306,92405.14418029999,291.49851998572416,214.44252746708713,1.0
2,19270.486339820396,103568.95203742664,315.35816665386415,232.30530030453366,1.0
2,17586.79483215298,84608.49245207777,280.5695300996637,198.1538073674727,1.0
2,16115.38713972682,84107.00520722756,279.13706824432444,205.32033120908162,1.0
2,16739.188487869946,86871.94432084318,289.27662360978593,221.75020119596994,1.0
2,19374.67491017191,112486.15950920826,293.8993990995033,227.30070201665424,1.0
2,15944.882017162725,101541.08141706858,275.41728705555516,190.16983891470835,1.0
2,17309.399217625607,73406.29625931519,276.6250291606445,206.41388589616727,1.0
2,18491.203355329242,105713.44193978958,301.0478532205651,237.92301712573845,1.0
2,18366.699409000088,130035.1574036646,286.00639441263127,233.21895759099976,1.0
