ss_store_sk,ss_wholesale_cost,ss_list_price,ss_sales_price,ss_ext_sales_price,tpcds-06667g-ssales_store_only_outlier_rate
2,50.53658,76.58315,38.351406,1988.9894,0.005160084444673292
2,50.824986,76.87828,38.279537,1927.3694,0.005160084444673292
2,50.349533,75.78984,38.06321,1924.4176,0.005160084444673292
2,50.3969,75.97631,38.46043,1947.1243,0.005160084444673292
2,49.882954,75.385605,37.729507,1802.9565,0.005160084444673292
2,50.281403,75.70007,38.02105,1887.2941,0.005160084444673292
2,49.49387,74.55748,37.83816,1970.367,0.005160084444673292
2,50.688995,76.24183,38.77447,1937.3104,0.005160084444673292
2,49.142254,73.370766,37.807503,1965.645,0.005160084444673292
2,51.056866,76.26094,38.37816,1954.3264,0.005160084444673292
2,51.337627,77.39959,39.193428,1984.8485,0.005160084444673292
2,50.484676,76.17378,38.245895,1913.3198,0.005160084444673292
2,50.3234,75.5362,37.73436,1910.1234,0.005160084444673292
2,50.162167,75.312584,38.291046,1927.6022,0.005160084444673292
2,51.061886,76.82062,39.44993,2017.384,0.005160084444673292
2,51.805313,77.97297,41.219288,2144.2493,0.005160084444673292
2,50.16953,74.406075,37.272125,1872.4381,0.005160084444673292
2,50.034542,74.66386,36.902637,1717.6504,0.005160084444673292
2,50.716244,76.7306,38.074387,1988.5403,0.005160084444673292
2,50.58781,75.99215,38.812244,1969.5491,0.005160084444673292
2,51.02469,75.56582,38.526165,1987.7784,0.005160084444673292
2,50.490246,76.55484,40.228798,2135.144,0.005160084444673292
2,49.605312,73.84962,37.88373,1876.9296,0.005160084444673292
2,50.795273,76.17469,38.24912,1907.0785,0.005160084444673292
2,51.61684,76.97741,38.925915,1921.7926,0.005160084444673292
2,50.74244,76.21946,38.535378,1798.7062,0.005160084444673292
2,51.06375,77.05463,38.882095,1951.5422,0.005160084444673292
2,51.94389,78.348785,41.306038,2108.1582,0.005160084444673292
2,50.97017,76.016136,38.837517,1979.4094,0.005160084444673292
1,49.971397,74.78917,37.811043,1925.849,0.004900353517603523
1,51.48856,77.51355,39.328167,1993.3575,0.004900353517603523
2,50.253387,76.65749,37.953327,2109.3262,0.005160084444673292
2,50.672684,75.41059,37.885586,1893.6664,0.005160084444673292
2,52.956547,80.46525,41.274216,2135.718,0.005160084444673292
2,49.962456,75.477585,37.82994,1834.1392,0.005160084444673292
2,51.57145,77.35056,40.518185,2240.2737,0.005160084444673292
2,50.358173,75.72925,38.7539,1971.9932,0.005160084444673292
2,51.25494,76.99793,38.850277,1965.1824,0.005160084444673292
2,51.14869,76.95134,39.100315,1958.3605,0.005160084444673292
2,51.642815,77.346436,40.516308,2073.9644,0.005160084444673292
2,50.357857,75.948235,38.504692,1948.0293,0.005160084444673292
2,51.24451,76.547386,39.591297,2077.0596,0.005160084444673292
2,51.54524,77.53795,39.878963,2129.0527,0.005160084444673292
2,51.299633,77.40816,39.17464,1938.5587,0.005160084444673292
2,49.93931,75.29453,38.38192,1960.8943,0.005160084444673292
2,52.239582,78.67315,40.329647,2019.6299,0.005160084444673292
2,51.3806,77.00508,40.726982,1989.6727,0.005160084444673292
1,52.383526,78.86717,40.067284,2010.8204,0.004900353517603523
2,50.26691,75.60108,38.20708,1939.6649,0.005160084444673292
2,49.815826,75.11205,37.84315,1850.8895,0.005160084444673292
2,50.916252,76.74164,39.375786,2024.8273,0.005160084444673292
2,50.228844,74.701996,37.46312,1836.7192,0.005160084444673292
2,50.44684,75.9099,38.16049,1915.797,0.005160084444673292
2,51.691772,78.027855,40.046295,1994.9327,0.005160084444673292
1,50.885723,77.13695,38.038784,1928.3845,0.004900353517603523
2,51.613495,77.66577,39.315636,1952.7721,0.005160084444673292
2,49.541058,74.92592,37.633026,1819.5864,0.005160084444673292
2,48.035023,72.53896,36.188805,1679.7341,0.005160084444673292
2,50.325436,75.70109,38.490223,2051.318,0.005160084444673292
2,50.831528,76.28997,38.73616,1995.7522,0.005160084444673292
2,50.958775,76.44388,37.953438,1904.5532,0.005160084444673292
2,51.349632,76.015755,38.788773,1896.7999,0.005160084444673292
2,50.471676,75.77337,37.899803,1948.7827,0.005160084444673292
2,50.53815,75.68576,37.983902,1890.1483,0.005160084444673292
2,50.842724,76.237335,38.58456,1966.221,0.005160084444673292
2,50.634464,76.119675,38.651962,1963.102,0.005160084444673292
2,50.00404,75.05903,38.953537,2049.1316,0.005160084444673292
2,52.3752,79.66294,41.519203,2239.777,0.005160084444673292
1,50.620857,76.02841,37.966763,1839.7145,0.004900353517603523
2,50.39983,75.47258,38.427803,1961.79,0.005160084444673292
2,50.862965,75.84662,38.446068,1931.4736,0.005160084444673292
1,50.270786,75.6392,39.313663,1931.2327,0.004900353517603523
2,49.761078,73.37339,37.176556,1772.3342,0.005160084444673292
2,50.307484,75.994835,38.40406,1927.0095,0.005160084444673292
2,50.32157,76.05214,38.794216,1936.7065,0.005160084444673292
