s_nationkey,s_suppkey,s_acctbal,tpch-1m-supplier_rate
0,75403,716.7967299757258,0.09785202863961814
0,88062,5835.370636938809,0.09785202863961814
0,86212,8155.404393765552,0.09785202863961814
0,91126,8044.454819330646,0.09785202863961814
0,85350,4050.5611447742995,0.09785202863961814
0,75518,9318.180629073056,0.09785202863961814
0,93361,6584.640168373334,0.09785202863961814
0,92061,4123.341174929888,0.09785202863961814
0,89213,4058.332826229148,0.09785202863961814
0,85652,4905.274829410856,0.09785202863961814
0,86523,8100.6396687360975,0.09785202863961814
0,85634,4851.040438783574,0.09785202863961814
0,92095,7516.079220473037,0.09785202863961814
0,86033,8106.510150660726,0.09785202863961814
0,89526,4847.473377240649,0.09785202863961814
0,86968,8226.176649461122,0.09785202863961814
0,77430,8000.719348580918,0.09785202863961814
0,86833,8023.387399949273,0.09785202863961814
0,89541,4776.294333312258,0.09785202863961814
0,76262,8191.733778515643,0.09785202863961814
0,75388,724.2314915586442,0.09785202863961814
0,85462,5953.363560901008,0.09785202863961814
0,85665,5925.879258088549,0.09785202863961814
0,93722,6362.323217855033,0.09785202863961814
0,93584,4171.16594403133,0.09785202863961814
0,86066,7431.8669278139,0.09785202863961814
0,87156,9309.646665993998,0.09785202863961814
0,75720,708.2469325081513,0.09785202863961814
0,93537,1875.4074842793234,0.09785202863961814
0,87583,1983.9328589197444,0.09785202863961814
0,86689,8030.312415614916,0.09785202863961814
0,78766,4858.625001049682,0.09785202863961814
0,89531,5940.437956371138,0.09785202863961814
0,86968,8109.2651081258,0.09785202863961814
0,87583,7515.54688607101,0.09785202863961814
0,89584,5810.939823070006,0.09785202863961814
0,75738,9339.940704997476,0.09785202863961814
0,88355,4728.809511746806,0.09785202863961814
0,86561,1923.74879530949,0.09785202863961814
0,85878,9305.839756028372,0.09785202863961814
0,87402,7501.234895764443,0.09785202863961814
1,86970,6041.607702499088,0.10344827586206896
1,89288,4785.039276029696,0.10344827586206896
1,89757,4860.457369559151,0.10344827586206896
1,88743,1947.9670074019925,0.10344827586206896
1,86840,3106.959236941977,0.10344827586206896
1,79587,5896.970220426389,0.10344827586206896
1,94149,2025.0874859090472,0.10344827586206896
1,79650,9320.465384612613,0.10344827586206896
1,88125,1864.0187929826807,0.10344827586206896
1,80619,4796.507496893466,0.10344827586206896
1,85811,8078.719345217223,0.10344827586206896
1,85487,729.4994798836103,0.10344827586206896
1,86855,6016.821461594031,0.10344827586206896
1,87894,5950.233644209032,0.10344827586206896
1,77517,9245.923719843722,0.10344827586206896
1,90221,716.4759731500513,0.10344827586206896
1,87157,7577.200809286661,0.10344827586206896
1,87400,9297.258064731466,0.10344827586206896
1,86855,621.3327962525177,0.10344827586206896
1,87514,2815.3310947966297,0.10344827586206896
1,81381,8123.899933391023,0.10344827586206896
1,92299,8068.402222539398,0.10344827586206896
1,89757,6571.7071733653265,0.10344827586206896
1,93618,6465.521259633156,0.10344827586206896
1,90199,729.2121118254435,0.10344827586206896
1,87418,2929.5111879873557,0.10344827586206896
1,85350,8172.83278227082,0.10344827586206896
1,92234,1946.0878686444926,0.10344827586206896
1,87790,4726.244907456293,0.10344827586206896
1,89595,4132.811731814124,0.10344827586206896
1,78329,4169.673757280156,0.10344827586206896
1,78552,2949.341780411559,0.10344827586206896
1,80850,4895.4916456265155,0.10344827586206896
1,89213,6024.136782222114,0.10344827586206896
1,77511,4161.033410260393,0.10344827586206896
1,92346,3939.2092826930125,0.10344827586206896
