ss_store_sk,ss_wholesale_cost,ss_list_price,ss_sales_price,ss_ext_sales_price,tpcds-06667g-ssales_store-inc_rate
1,37.78036,53.749935,18.895298,792.6751,0.0077114425553155485
1,81.79965,121.2006,87.68308,4224.256,0.0077114425553155485
1,37.73964,53.68915,23.672976,1074.2753,0.0077114425553155485
1,83.2915,121.46041,34.90257,1390.1412,0.0077114425553155485
1,19.332047,26.707275,15.96899,818.9024,0.0077114425553155485
1,26.31763,37.32005,19.474628,880.4402,0.0077114425553155485
1,74.587456,111.02509,16.470041,1008.624,0.0077114425553155485
1,36.12081,53.22567,32.42172,1480.2411,0.0077114425553155485
1,79.96165,121.33281,94.14716,5764.2637,0.0077114425553155485
1,59.9737,86.08802,33.88863,1412.885,0.0077114425553155485
1,31.10802,47.990124,32.15486,1745.1971,0.0077114425553155485
1,24.970026,35.5124,18.289515,874.35516,0.0077114425553155485
1,85.75256,139.50883,119.91323,9776.175,0.0077114425553155485
1,56.00005,82.762054,50.17574,2335.285,0.0077114425553155485
1,35.01406,50.61134,24.367939,1071.2372,0.0077114425553155485
1,92.62479,157.91208,32.63514,851.4489,0.0077114425553155485
1,69.82603,99.42726,37.930313,1579.6635,0.0077114425553155485
1,22.561628,33.339813,17.011156,745.1949,0.0077114425553155485
1,30.745058,45.309048,20.898542,921.27704,0.0077114425553155485
1,9.927276,15.035926,8.858807,474.69116,0.0077114425553155485
1,78.12403,113.772804,51.366615,2227.9875,0.0077114425553155485
1,35.971996,51.760967,24.330978,1113.6284,0.0077114425553155485
1,32.22618,46.126217,22.254894,1012.8358,0.0077114425553155485
1,21.976824,34.76182,21.25751,968.477,0.0077114425553155485
1,28.876173,41.544605,19.825186,927.07513,0.0077114425553155485
1,61.469616,87.974396,25.512075,1031.4995,0.0077114425553155485
1,58.410233,84.45651,35.015656,1489.0504,0.0077114425553155485
1,6.9085903,9.4403105,8.79315,479.5991,0.0077114425553155485
1,55.141235,78.18328,30.941406,1290.1956,0.0077114425553155485
1,34.5457,50.901463,24.136395,1158.2627,0.0077114425553155485
1,90.76972,137.33218,44.464188,1842.2701,0.0077114425553155485
1,73.47423,108.743935,75.36274,4123.3374,0.0077114425553155485
1,37.8867,54.481247,26.620934,1223.7646,0.0077114425553155485
1,15.990181,24.65778,12.374479,631.92145,0.0077114425553155485
1,40.26255,56.98446,25.84336,1158.0596,0.0077114425553155485
1,91.139946,145.45158,95.681435,4398.733,0.0077114425553155485
1,86.63938,134.63158,61.416702,2341.0117,0.0077114425553155485
1,71.64039,107.16102,79.35728,4759.2715,0.0077114425553155485
