l_partkey,l_extendedprice,l_quantity,l_partkey_bucket,tpch-2g-lineitem_parts_rate
3692,82037.0680620519,47.78298517619736,2,0.0019993612803110763
70033,33365.66533056853,13.800782040821698,1,0.0019971744013970068
33162,79158.46808368573,41.47274580742169,0,0.0020021347484537075
28798,18080.69093640073,11.61356584633407,4,0.0019981259751430214
70246,20039.66281883418,23.600697712119924,4,0.0019981259751430214
876,44829.693932943526,38.22128822637274,0,0.0020021347484537075
33192,78639.83580561557,41.11716932439489,0,0.0020021347484537075
36211,82869.03775503612,47.29309723345996,1,0.0019971744013970068
4795,21294.005025383147,9.440080014157573,1,0.0019971744013970068
2808,55335.22713888645,41.00398725596996,0,0.0020021347484537075
32903,60533.00297345561,40.62491062162339,5,0.0020029414818464927
66177,60828.267812436345,39.00539760820267,3,0.0020005052548505804
66507,42797.901582247185,39.09359410000245,3,0.0020005052548505804
36470,53123.86627917572,30.346797358545967,2,0.0019993612803110763
72550,24902.571660650632,19.732690131406613,4,0.0019981259751430214
2664,41013.56809838282,39.765431746691206,0,0.0020021347484537075
5303,20429.233768376696,9.830544465981028,5,0.0020029414818464927
102166,76936.99829805108,48.127147952823144,4,0.0019981259751430214
108,39226.95235775713,24.598123441116538,0,0.0020021347484537075
33516,69552.08491871026,32.810739941903286,0,0.0020021347484537075
1830,38648.81394731462,26.59782719619839,0,0.0020021347484537075
68239,58505.981481923074,39.56419682202162,1,0.0019971744013970068
72084,21339.01198805698,22.45130143872569,0,0.0020021347484537075
3883,45056.25917101646,46.35090349007672,1,0.0019971744013970068
111233,28669.428231651145,16.41218776604552,5,0.0020029414818464927
65730,24644.013837560044,20.70399620729072,0,0.0020021347484537075
20710,15703.979369731847,12.301865856823477,4,0.0019981259751430214
70496,19360.18924672103,10.661538798362132,2,0.0019993612803110763
176,21128.213172342854,9.52225029293991,2,0.0019993612803110763
35216,78467.40218209644,41.824562750062356,2,0.0019993612803110763
8707,41191.80371362532,39.258273157368905,1,0.0019971744013970068
86524,38830.42247371235,24.898196745770704,4,0.0019981259751430214
66049,61405.62461876085,38.980643222968624,1,0.0019971744013970068
66062,62567.161321563355,37.941956794808085,2,0.0019993612803110763
2502,62774.41095660145,47.61292903255413,0,0.0020021347484537075
65792,40638.89813375047,23.722244279100526,2,0.0019993612803110763
4807,18234.062723625382,11.055839319745406,1,0.0019971744013970068
4287,15391.70628283154,12.58742357751363,3,0.0020005052548505804
68231,60323.25065234874,39.49560335341321,5,0.0020029414818464927
98895,58546.64135571697,40.89952970737794,3,0.0020005052548505804
4287,10441.530566557478,4.290725376667449,3,0.0020005052548505804
6583,39904.138422099095,23.700061337523323,1,0.0019971744013970068
4249,23109.994066645202,20.957625276389543,1,0.0019971744013970068
